La	Ce	Nd	Sm	Eu	Gd	Tb	Yb	Lu	Y	Rb	Sr	Ba
amph	0.85	1.2	3.2	5.4	3.6	10	3	6.2	4.5	6	0.014	0.22	0.044
plg	0.32	0.24	0.19	0.13	2	0.16	0.15	0.08	0.06	0.1	0.016	1.45	0.3
bi	0.32	0.04	0.04	0.06	0.15	0.44	0.39	0.67	0.74	0.03	2	0.045	9.5
KF	0.072	0.046	0.038	0.025	2.6	0.011	0.033	0.02	0.03		0.659	3.87	6.12
all	1331	1279	874	438	107	214	204	22	22				
ti	60	90	103	340	157	383	326	231	176				
zir	3.3	2.4	2.2	3.7	3.4	13.9	26.3	225	300				
ap	46.1	41.6	55.8	65	27.3	79	60	60	60				
grt	0.39	0.69	0.603	2.035	0.515	6.975	11.9	43.475	39.775	35	0.009	0.015	0.017
mz	3200	3413	3726	2859	228	2144		273	174	1231			
mu											1.6	0.05	4.5
