SiO2	TiO2	Al2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	CO2	H2O.PLUS	F
Or	64.76		18.32							16.92				
Ab	68.74		19.44						11.82					
An	43.19		36.65					20.16						
Sp			71.67				28.33							
Mt				68.97	31.03									
Bt	35.21		9.96	42.11						9.2			3.52	
Ph	43.2		12.22				28.98			11.29			4.32	
En	59.85						40.15							
Fs	45.54				54.46									
Di	55.49						18.61	25.9						
Fo	42.71						57.29							
Fa	29.49				70.51									
Hd	48.44				28.96			22.6						
Ne	42.3		35.89						21.82					
Ha	37.14		31.55					23.11						
Ilm		52.65			47.35									
Ap								55.82			42.39		1.79	

